customer_id,customer_name,customer_type,revenue,orders_count,signup_date
1,SMB Customer 1,Small Business,459.9,1,2023-01-01
2,SMB Customer 2,Small Business,440.85,1,2023-01-02
3,SMB Customer 3,Small Business,464.43,2,2023-01-03
4,SMB Customer 4,Small Business,490.69,4,2023-01-04
5,SMB Customer 5,Small Business,437.98,4,2023-01-05
6,SMB Customer 6,Small Business,437.98,3,2023-01-06
7,SMB Customer 7,Small Business,492.38,1,2023-01-07
8,SMB Customer 8,Small Business,468.02,3,2023-01-08
9,SMB Customer 9,Small Business,430.92,4,2023-01-09
10,SMB Customer 10,Small Business,461.28,2,2023-01-10
11,SMB Customer 11,Small Business,431.1,3,2023-01-11
12,SMB Customer 12,Small Business,431.03,3,2023-01-12
13,SMB Customer 13,Small Business,452.26,1,2023-01-13
14,SMB Customer 14,Small Business,387.6,4,2023-01-14
15,SMB Customer 15,Small Business,393.25,2,2023-01-15
16,SMB Customer 16,Small Business,428.13,3,2023-01-16
17,SMB Customer 17,Small Business,414.62,2,2023-01-17
18,SMB Customer 18,Small Business,454.43,3,2023-01-18
19,SMB Customer 19,Small Business,417.76,3,2023-01-19
20,SMB Customer 20,Small Business,402.63,2,2023-01-20
21,SMB Customer 21,Small Business,488.97,3,2023-01-21
22,SMB Customer 22,Small Business,438.23,3,2023-01-22
23,SMB Customer 23,Small Business,447.03,1,2023-01-23
24,SMB Customer 24,Small Business,402.26,2,2023-01-24
25,SMB Customer 25,Small Business,428.67,3,2023-01-25
26,SMB Customer 26,Small Business,448.33,4,2023-01-26
27,SMB Customer 27,Small Business,410.47,4,2023-01-27
28,SMB Customer 28,Small Business,456.27,2,2023-01-28
29,SMB Customer 29,Small Business,426.98,1,2023-01-29
30,SMB Customer 30,Small Business,436.25,1,2023-01-30
31,SMB Customer 31,Small Business,426.95,3,2023-01-31
32,SMB Customer 32,Small Business,499.0,4,2023-02-01
33,SMB Customer 33,Small Business,444.6,1,2023-02-02
34,SMB Customer 34,Small Business,413.27,1,2023-02-03
35,SMB Customer 35,Small Business,469.68,2,2023-02-04
36,SMB Customer 36,Small Business,408.37,1,2023-02-05
37,SMB Customer 37,Small Business,451.27,3,2023-02-06
38,SMB Customer 38,Small Business,386.21,1,2023-02-07
39,SMB Customer 39,Small Business,405.15,3,2023-02-08
40,SMB Customer 40,Small Business,450.91,3,2023-02-09
41,SMB Customer 41,Small Business,467.15,2,2023-02-10
42,SMB Customer 42,Small Business,450.14,1,2023-02-11
43,SMB Customer 43,Small Business,441.53,1,2023-02-12
44,SMB Customer 44,Small Business,435.97,1,2023-02-13
45,SMB Customer 45,Small Business,400.64,2,2023-02-14
46,SMB Customer 46,Small Business,423.4,4,2023-02-15
47,SMB Customer 47,Small Business,431.18,3,2023-02-16
48,SMB Customer 48,Small Business,476.71,2,2023-02-17
49,SMB Customer 49,Small Business,455.31,1,2023-02-18
50,SMB Customer 50,Small Business,392.11,2,2023-02-19
51,SMB Customer 51,Small Business,454.72,4,2023-02-20
52,SMB Customer 52,Small Business,433.45,1,2023-02-21
53,SMB Customer 53,Small Business,424.69,3,2023-02-22
54,SMB Customer 54,Small Business,463.35,2,2023-02-23
55,SMB Customer 55,Small Business,475.93,1,2023-02-24
56,SMB Customer 56,Small Business,472.94,4,2023-02-25
57,SMB Customer 57,Small Business,419.82,3,2023-02-26
58,SMB Customer 58,Small Business,435.72,2,2023-02-27
59,SMB Customer 59,Small Business,454.94,1,2023-02-28
60,SMB Customer 60,Small Business,474.27,1,2023-03-01
61,SMB Customer 61,Small Business,430.62,1,2023-03-02
62,SMB Customer 62,Small Business,439.43,4,2023-03-03
63,SMB Customer 63,Small Business,411.81,1,2023-03-04
64,SMB Customer 64,Small Business,409.11,1,2023-03-05
65,SMB Customer 65,Small Business,469.38,1,2023-03-06
66,SMB Customer 66,Small Business,485.69,1,2023-03-07
67,SMB Customer 67,Small Business,442.84,3,2023-03-08
68,SMB Customer 68,Small Business,475.11,2,2023-03-09
69,SMB Customer 69,Small Business,455.85,3,2023-03-10
70,SMB Customer 70,Small Business,425.65,2,2023-03-11
71,SMB Customer 71,Small Business,455.84,4,2023-03-12
72,SMB Customer 72,Small Business,491.14,2,2023-03-13
73,SMB Customer 73,Small Business,443.93,4,2023-03-14
74,SMB Customer 74,Small Business,491.94,1,2023-03-15
75,SMB Customer 75,Small Business,366.41,3,2023-03-16
76,SMB Customer 76,Small Business,469.66,2,2023-03-17
77,SMB Customer 77,Small Business,447.61,3,2023-03-18
78,SMB Customer 78,Small Business,436.03,1,2023-03-19
79,SMB Customer 79,Small Business,447.75,1,2023-03-20
80,SMB Customer 80,Small Business,385.37,1,2023-03-21
81,SMB Customer 81,Small Business,438.41,1,2023-03-22
82,SMB Customer 82,Small Business,455.71,2,2023-03-23
83,SMB Customer 83,Small Business,489.34,4,2023-03-24
84,SMB Customer 84,Small Business,429.45,3,2023-03-25
85,SMB Customer 85,Small Business,420.75,3,2023-03-26
86,SMB Customer 86,Small Business,429.95,1,2023-03-27
87,SMB Customer 87,Small Business,472.46,1,2023-03-28
88,SMB Customer 88,Small Business,454.86,2,2023-03-29
89,SMB Customer 89,Small Business,429.11,1,2023-03-30
90,SMB Customer 90,Small Business,460.4,4,2023-03-31
91,SMB Customer 91,Small Business,447.91,1,2023-04-01
92,SMB Customer 92,Small Business,474.06,2,2023-04-02
93,SMB Customer 93,Small Business,423.94,4,2023-04-03
94,SMB Customer 94,Small Business,435.17,1,2023-04-04
95,SMB Customer 95,Small Business,433.24,2,2023-04-05
96,SMB Customer 96,Small Business,401.09,4,2023-04-06
97,SMB Customer 97,Small Business,453.88,4,2023-04-07
98,SMB Customer 98,Small Business,452.83,2,2023-04-08
99,SMB Customer 99,Small Business,445.15,2,2023-04-09
100,SMB Customer 100,Small Business,437.96,1,2023-04-10
101,SMB Customer 101,Small Business,402.54,1,2023-04-11
102,SMB Customer 102,Small Business,432.38,3,2023-04-12
103,SMB Customer 103,Small Business,434.72,1,2023-04-13
104,SMB Customer 104,Small Business,420.93,3,2023-04-14
105,SMB Customer 105,Small Business,440.16,1,2023-04-15
106,SMB Customer 106,Small Business,457.12,3,2023-04-16
107,SMB Customer 107,Small Business,499.0,2,2023-04-17
108,SMB Customer 108,Small Business,450.24,3,2023-04-18
109,SMB Customer 109,Small Business,452.73,4,2023-04-19
110,SMB Customer 110,Small Business,442.77,2,2023-04-20
111,SMB Customer 111,Small Business,387.44,3,2023-04-21
112,SMB Customer 112,Small Business,444.2,4,2023-04-22
113,SMB Customer 113,Small Business,446.81,4,2023-04-23
114,SMB Customer 114,Small Business,499.0,2,2023-04-24
115,SMB Customer 115,Small Business,439.23,1,2023-04-25
116,SMB Customer 116,Small Business,454.05,1,2023-04-26
117,SMB Customer 117,Small Business,443.96,4,2023-04-27
118,SMB Customer 118,Small Business,409.94,1,2023-04-28
119,SMB Customer 119,Small Business,479.28,2,2023-04-29
120,SMB Customer 120,Small Business,467.56,2,2023-04-30
121,SMB Customer 121,Small Business,468.73,3,2023-05-01
122,SMB Customer 122,Small Business,417.72,2,2023-05-02
123,SMB Customer 123,Small Business,487.08,1,2023-05-03
124,SMB Customer 124,Small Business,402.94,2,2023-05-04
125,SMB Customer 125,Small Business,462.61,3,2023-05-05
126,SMB Customer 126,Small Business,499.0,2,2023-05-06
127,SMB Customer 127,Small Business,415.28,3,2023-05-07
128,SMB Customer 128,Small Business,428.01,1,2023-05-08
129,SMB Customer 129,Small Business,447.99,4,2023-05-09
130,SMB Customer 130,Small Business,429.9,1,2023-05-10
131,SMB Customer 131,Small Business,398.48,1,2023-05-11
132,SMB Customer 132,Small Business,447.06,1,2023-05-12
133,SMB Customer 133,Small Business,413.13,4,2023-05-13
134,SMB Customer 134,Small Business,459.21,4,2023-05-14
135,SMB Customer 135,Small Business,417.42,3,2023-05-15
136,SMB Customer 136,Small Business,491.5,1,2023-05-16
137,SMB Customer 137,Small Business,421.5,1,2023-05-17
138,SMB Customer 138,Small Business,435.34,3,2023-05-18
139,SMB Customer 139,Small Business,469.41,2,2023-05-19
140,SMB Customer 140,Small Business,408.07,3,2023-05-20
141,SMB Customer 141,Small Business,451.82,2,2023-05-21
142,SMB Customer 142,Small Business,484.21,2,2023-05-22
143,SMB Customer 143,Small Business,396.78,1,2023-05-23
144,SMB Customer 144,Small Business,450.54,3,2023-05-24
145,SMB Customer 145,Small Business,452.8,3,2023-05-25
146,SMB Customer 146,Small Business,468.45,1,2023-05-26
147,SMB Customer 147,Small Business,407.89,2,2023-05-27
148,SMB Customer 148,Small Business,405.39,2,2023-05-28
149,SMB Customer 149,Small Business,460.66,3,2023-05-29
150,SMB Customer 150,Small Business,453.91,1,2023-05-30
151,SMB Customer 151,Small Business,452.51,4,2023-05-31
152,SMB Customer 152,Small Business,455.39,2,2023-06-01
153,SMB Customer 153,Small Business,424.6,4,2023-06-02
154,SMB Customer 154,Small Business,451.97,4,2023-06-03
155,SMB Customer 155,Small Business,453.79,1,2023-06-04
156,SMB Customer 156,Small Business,423.57,3,2023-06-05
157,SMB Customer 157,Small Business,499.0,3,2023-06-06
158,SMB Customer 158,Small Business,459.21,2,2023-06-07
159,SMB Customer 159,Small Business,409.26,3,2023-06-08
160,SMB Customer 160,Small Business,464.7,1,2023-06-09
161,SMB Customer 161,Small Business,415.76,1,2023-06-10
162,SMB Customer 162,Small Business,468.61,2,2023-06-11
163,SMB Customer 163,Small Business,479.76,3,2023-06-12
164,SMB Customer 164,Small Business,420.38,2,2023-06-13
165,SMB Customer 165,Small Business,473.9,3,2023-06-14
