customer_id,customer_name,customer_type,product,region,revenue,churn,signup_date
1,Enterprise Client 1,Enterprise,Developer Tools,EMEA,70218.89,1,2023-01-01
2,Enterprise Client 2,Enterprise,Cloud Platform,North America,85333.41,0,2023-01-04
3,Enterprise Client 3,Enterprise,Security Suite,EMEA,48877.09,0,2023-01-07
4,Enterprise Client 4,Enterprise,Cloud Platform,LATAM,92712.28,0,2023-01-10
5,Enterprise Client 5,Enterprise,Cloud Platform,North America,101099.79,0,2023-01-13
6,Enterprise Client 6,Enterprise,Cloud Platform,EMEA,57328.72,0,2023-01-16
7,Enterprise Client 7,Enterprise,Cloud Platform,EMEA,74090.27,0,2023-01-19
8,Enterprise Client 8,Enterprise,Cloud Platform,North America,54367.39,0,2023-01-22
9,Enterprise Client 9,Enterprise,Security Suite,North America,75717.25,0,2023-01-25
10,Enterprise Client 10,Enterprise,Analytics Pro,North America,79639.86,0,2023-01-28
11,Enterprise Client 11,Enterprise,Cloud Platform,North America,85932.7,0,2023-01-31
12,Enterprise Client 12,Enterprise,Developer Tools,APAC,108952.68,0,2023-02-03
13,Enterprise Client 13,Enterprise,Cloud Platform,EMEA,65503.06,0,2023-02-06
14,Enterprise Client 14,Enterprise,Cloud Platform,North America,74643.78,0,2023-02-09
15,Enterprise Client 15,Enterprise,Developer Tools,North America,47279.09,0,2023-02-12
16,Enterprise Client 16,Enterprise,Cloud Platform,EMEA,89640.37,0,2023-02-15
17,Enterprise Client 17,Enterprise,Cloud Platform,LATAM,81830.02,0,2023-02-18
18,Enterprise Client 18,Enterprise,Developer Tools,APAC,97234.82,0,2023-02-21
19,Enterprise Client 19,Enterprise,Developer Tools,North America,85282.25,0,2023-02-24
20,Enterprise Client 20,Enterprise,Cloud Platform,North America,58177.0,0,2023-02-27
21,Enterprise Client 21,Enterprise,Cloud Platform,APAC,71172.29,0,2023-03-02
22,Enterprise Client 22,Enterprise,Cloud Platform,EMEA,69019.35,0,2023-03-05
23,Enterprise Client 23,Enterprise,Security Suite,North America,54463.85,0,2023-03-08
24,Enterprise Client 24,Enterprise,Security Suite,North America,111515.5,0,2023-03-11
25,Enterprise Client 25,Enterprise,Security Suite,EMEA,45332.35,0,2023-03-14
26,Enterprise Client 26,Enterprise,Security Suite,North America,94124.11,0,2023-03-17
27,Enterprise Client 27,Enterprise,Cloud Platform,APAC,69134.83,0,2023-03-20
28,Enterprise Client 28,Enterprise,Cloud Platform,North America,86995.1,0,2023-03-23
29,Enterprise Client 29,Enterprise,Cloud Platform,EMEA,65932.55,0,2023-03-26
30,Enterprise Client 30,Enterprise,Security Suite,North America,87956.75,0,2023-03-29
31,Enterprise Client 31,Enterprise,Security Suite,EMEA,53025.36,0,2023-04-01
32,Enterprise Client 32,Enterprise,Security Suite,North America,82812.42,0,2023-04-04
33,Enterprise Client 33,Enterprise,Cloud Platform,North America,80212.99,0,2023-04-07
34,Enterprise Client 34,Enterprise,Cloud Platform,EMEA,52236.12,0,2023-04-10
35,Enterprise Client 35,Enterprise,Analytics Pro,APAC,66160.07,0,2023-04-13
36,Enterprise Client 36,Enterprise,Cloud Platform,EMEA,61772.18,0,2023-04-16
37,Enterprise Client 37,Enterprise,Cloud Platform,North America,60390.06,0,2023-04-19
38,Enterprise Client 38,Enterprise,Developer Tools,APAC,55832.68,0,2023-04-22
39,Enterprise Client 39,Enterprise,Security Suite,APAC,87676.62,0,2023-04-25
40,Enterprise Client 40,Enterprise,Security Suite,EMEA,57542.2,0,2023-04-28
41,Enterprise Client 41,Enterprise,Security Suite,North America,99413.62,0,2023-05-01
42,Enterprise Client 42,Enterprise,Cloud Platform,North America,52381.83,0,2023-05-04
43,Enterprise Client 43,Enterprise,Security Suite,North America,100126.77,0,2023-05-07
44,Enterprise Client 44,Enterprise,Cloud Platform,North America,79404.68,0,2023-05-10
45,Enterprise Client 45,Enterprise,Cloud Platform,APAC,53043.64,0,2023-05-13
46,Enterprise Client 46,Enterprise,Analytics Pro,EMEA,66756.71,0,2023-05-16
47,Enterprise Client 47,Enterprise,Developer Tools,LATAM,69483.08,0,2023-05-19
48,Enterprise Client 48,Enterprise,Analytics Pro,North America,61940.11,0,2023-05-22
49,Enterprise Client 49,Enterprise,Cloud Platform,EMEA,64169.55,0,2023-05-25
50,Enterprise Client 50,Enterprise,Cloud Platform,North America,78860.56,0,2023-05-28
51,Enterprise Client 51,Enterprise,Cloud Platform,North America,106213.3,0,2023-05-31
52,Enterprise Client 52,Enterprise,Developer Tools,North America,77968.58,0,2023-06-03
53,Enterprise Client 53,Enterprise,Security Suite,North America,90288.69,0,2023-06-06
54,Enterprise Client 54,Enterprise,Cloud Platform,EMEA,94070.78,0,2023-06-09
55,Enterprise Client 55,Enterprise,Analytics Pro,North America,87685.12,0,2023-06-12
56,Enterprise Client 56,Enterprise,Cloud Platform,North America,101292.66,0,2023-06-15
57,Enterprise Client 57,Enterprise,Analytics Pro,EMEA,47709.81,0,2023-06-18
58,Enterprise Client 58,Enterprise,Analytics Pro,North America,46078.62,0,2023-06-21
59,Enterprise Client 59,Enterprise,Cloud Platform,EMEA,88470.33,0,2023-06-24
60,Enterprise Client 60,Enterprise,Developer Tools,North America,71041.33,0,2023-06-27
61,Enterprise Client 61,Enterprise,Cloud Platform,APAC,67961.42,0,2023-06-30
62,Enterprise Client 62,Enterprise,Cloud Platform,EMEA,104127.62,0,2023-07-03
63,Enterprise Client 63,Enterprise,Analytics Pro,EMEA,100073.32,0,2023-07-06
64,Enterprise Client 64,Enterprise,Cloud Platform,APAC,61270.43,0,2023-07-09
65,Enterprise Client 65,Enterprise,Analytics Pro,North America,105684.04,0,2023-07-12
66,Enterprise Client 66,Enterprise,Security Suite,APAC,68510.6,0,2023-07-15
67,Enterprise Client 67,Enterprise,Security Suite,EMEA,104784.96,0,2023-07-18
