user_id,session_id,traffic_source,device_type,signup_clicked,email_entered,password_created,email_verified,payment_added,first_purchase,purchase_amount,created_at
1,sess_00001,Paid Ad,Mobile,1,1,1,1,1,1,123.85,2024-01-01 00:15:00
2,sess_00002,Referral,Tablet,1,1,1,1,1,1,161.84,2024-01-01 00:30:00
3,sess_00003,Social Media,Desktop,1,1,1,1,1,1,157.27,2024-01-01 00:45:00
4,sess_00004,Organic Search,Mobile,1,1,1,1,1,1,173.95,2024-01-01 01:00:00
5,sess_00005,Paid Ad,Tablet,1,1,1,1,1,1,130.23,2024-01-01 01:15:00
6,sess_00006,Referral,Desktop,1,1,1,1,1,1,150.85,2024-01-01 01:30:00
7,sess_00007,Social Media,Mobile,1,1,1,1,1,1,115.87,2024-01-01 01:45:00
8,sess_00008,Organic Search,Tablet,1,1,1,1,1,1,167.54,2024-01-01 02:00:00
9,sess_00009,Paid Ad,Desktop,1,1,1,1,1,1,162.97,2024-01-01 02:15:00
10,sess_00010,Referral,Mobile,1,1,1,1,1,1,162.4,2024-01-01 02:30:00
11,sess_00011,Social Media,Tablet,1,1,1,1,1,1,150.04,2024-01-01 02:45:00
12,sess_00012,Organic Search,Desktop,1,1,1,1,1,1,160.37,2024-01-01 03:00:00
13,sess_00013,Paid Ad,Mobile,1,1,1,1,1,1,190.11,2024-01-01 03:15:00
14,sess_00014,Referral,Tablet,1,1,1,1,1,1,142.87,2024-01-01 03:30:00
15,sess_00015,Social Media,Desktop,1,1,1,1,1,1,153.47,2024-01-01 03:45:00
16,sess_00016,Organic Search,Mobile,1,1,1,1,1,1,122.85,2024-01-01 04:00:00
17,sess_00017,Paid Ad,Tablet,1,1,1,1,1,1,128.29,2024-01-01 04:15:00
18,sess_00018,Referral,Desktop,1,1,1,1,1,1,152.45,2024-01-01 04:30:00
19,sess_00019,Social Media,Mobile,1,1,1,1,1,1,177.6,2024-01-01 04:45:00
20,sess_00020,Organic Search,Tablet,1,1,1,1,1,1,143.59,2024-01-01 05:00:00
21,sess_00021,Paid Ad,Desktop,1,1,1,1,1,1,144.1,2024-01-01 05:15:00
22,sess_00022,Referral,Mobile,1,1,1,1,1,1,139.83,2024-01-01 05:30:00
23,sess_00023,Social Media,Tablet,1,1,1,1,1,1,136.63,2024-01-01 05:45:00
24,sess_00024,Organic Search,Desktop,1,1,1,1,1,1,157.37,2024-01-01 06:00:00
25,sess_00025,Paid Ad,Mobile,1,1,1,1,1,1,112.57,2024-01-01 06:15:00
26,sess_00026,Referral,Tablet,1,1,1,1,1,1,182.02,2024-01-01 06:30:00
27,sess_00027,Social Media,Desktop,1,1,1,1,1,1,133.36,2024-01-01 06:45:00
28,sess_00028,Organic Search,Mobile,1,1,1,1,1,1,168.05,2024-01-01 07:00:00
